Date,Customer ID,Product Name,Category,Price,Quantity,Discount,Sales,Rating
02-03-2019,118756,Oppo A12s,Mobile,14610,1,9,13295,5
11-06-2019,180436,LG Aristo 5,Mobile,13165,1,15,11190,3
10-01-2018,103923,Tecno Spark 5 Pro,Mobile,12306,1,14,10583,3
19-11-2019,151574,Motorola One Vision Plus,Mobile,14860,1,15,12631,1
16-05-2018,144407,iQOO Z1x,Mobile,10409,1,15,8848,4
11-09-2019,128632,Lava Z61 Pro,Mobile,10576,1,6,9941,5
03-05-2019,108708,Motorola Moto G 5G Plus,Mobile,14924,1,2,14626,1
03-01-2018,121647,Honor X10 Max,Mobile,12091,1,7,11245,2
11-05-2020,155902,Samsung Galaxy M31,Mobile,12095,1,3,11732,5
21-04-2020,194629,Motorola One Fusion Plus,Mobile,19173,1,2,18790,4
04-10-2018,158472,Samsung Galaxy M21,Mobile,16684,1,2,16350,4
14-06-2019,149361,Realme X3,Mobile,19687,2,2,38587,4
02-10-2019,108735,Xiaomi Redmi Note 8,Mobile,15358,1,10,13822,1
22-07-2018,181012,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,1,10457,2
24-04-2019,169334,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,15,17849,5
06-01-2020,149351,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,2,0,29598,4
13-09-2018,101161,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,9,13649,5
29-01-2019,153517,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,1,9206,3
18-03-2019,144390,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,12,17239,3
02-09-2018,198217,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,7,13949,1
29-04-2019,114487,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,9,28201,4
17-03-2018,120003,Dell Vostro 15 3581 ,Laptop,41490,1,4,39830,4
12-11-2018,161027,Acer Aspire 3 A315,Laptop,17499,1,13,15224,3
01-05-2019,157378,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,11,711,2
05-04-2020,121586,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,6,2815,3
14-10-2018,125159,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,6,4131,4
08-09-2018,149042,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,2,10,30591,4
26-04-2019,184417,Oppo A12s,Mobile,14610,1,5,13880,3
01-11-2019,132501,LG Aristo 5,Mobile,13165,1,10,11849,1
14-08-2019,129973,Tecno Spark 5 Pro,Mobile,12306,1,15,10460,4
06-03-2018,190439,Motorola One Vision Plus,Mobile,14860,1,4,14266,4
27-07-2018,154223,iQOO Z1x,Mobile,10409,1,13,9056,5
18-02-2019,169803,Lava Z61 Pro,Mobile,10576,1,11,9413,1
26-06-2018,197638,Motorola Moto G 5G Plus,Mobile,14924,1,7,13879,5
29-01-2020,124222,Honor X10 Max,Mobile,12091,1,1,11970,4
25-07-2018,144920,Samsung Galaxy M31,Mobile,12095,1,4,11611,5
18-05-2020,116960,Motorola One Fusion Plus,Mobile,19173,1,11,17064,3
13-10-2018,125627,Samsung Galaxy M21,Mobile,16684,1,2,16350,4
23-05-2019,193766,Realme X3,Mobile,19687,1,9,17915,5
27-01-2020,155542,Xiaomi Redmi Note 8,Mobile,15358,1,1,15204,3
08-11-2018,117212,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,3,10246,4
24-03-2019,169993,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,10,18899,3
09-12-2019,147844,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,11,13171,1
14-03-2018,173743,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,2,14699,3
02-07-2018,105493,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,7,8648,1
02-12-2018,193269,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,4,18806,4
04-06-2020,109588,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,8,13799,1
19-02-2020,158616,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,3,30060,2
22-11-2018,157587,Dell Vostro 15 3581 ,Laptop,41490,1,9,37756,5
16-03-2018,106107,Acer Aspire 3 A315,Laptop,17499,1,15,14874,1
22-06-2020,163581,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,1,791,2
13-05-2020,137735,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,0,2995,1
21-10-2018,125706,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,2,4307,1
13-12-2018,145370,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,10,15296,1
31-07-2019,108021,Oppo A12s,Mobile,14610,1,10,13149,1
17-02-2018,148681,LG Aristo 5,Mobile,13165,1,14,11322,3
22-07-2019,100195,Tecno Spark 5 Pro,Mobile,12306,1,4,11814,4
20-06-2020,182087,Motorola One Vision Plus,Mobile,14860,1,4,14266,3
12-07-2018,126938,iQOO Z1x,Mobile,10409,1,4,9993,4
31-03-2018,183972,Lava Z61 Pro,Mobile,10576,1,13,9201,3
04-09-2018,165361,Motorola Moto G 5G Plus,Mobile,14924,1,14,12835,4
04-09-2018,182974,Honor X10 Max,Mobile,12091,1,8,11124,1
01-01-2020,164385,Samsung Galaxy M31,Mobile,12095,1,12,10644,2
12-10-2018,198696,Motorola One Fusion Plus,Mobile,19173,1,6,18023,2
25-12-2018,120489,Samsung Galaxy M21,Mobile,16684,1,13,14515,4
30-12-2019,170171,Realme X3,Mobile,19687,1,6,18506,5
10-03-2019,102537,Xiaomi Redmi Note 8,Mobile,15358,1,10,13822,3
27-12-2019,161066,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,0,10563,2
20-06-2020,157105,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,15,17849,3
15-07-2018,183588,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,6,13911,3
12-05-2020,197161,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,1,14849,1
01-10-2019,126995,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,14,7997,4
16-01-2019,167291,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,15,16652,1
03-03-2019,156656,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,5,14249,5
20-04-2018,165793,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,10,27891,4
24-10-2018,112839,Dell Vostro 15 3581 ,Laptop,41490,1,8,38171,1
12-05-2020,132236,Acer Aspire 3 A315,Laptop,17499,1,14,15049,1
28-05-2020,196944,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,0,799,4
31-12-2018,180220,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,4,2875,4
06-12-2019,108689,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,12,3868,5
03-10-2018,174637,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,0,16995,5
15-10-2018,181672,Oppo A12s,Mobile,14610,2,14,25129,3
03-04-2020,129395,LG Aristo 5,Mobile,13165,1,14,11322,1
11-04-2018,161343,Tecno Spark 5 Pro,Mobile,12306,1,11,10952,3
27-01-2018,125480,Motorola One Vision Plus,Mobile,14860,1,4,14266,1
15-03-2020,126111,iQOO Z1x,Mobile,10409,1,0,10409,4
07-02-2020,181492,Lava Z61 Pro,Mobile,10576,1,8,9730,5
27-06-2018,132329,Motorola Moto G 5G Plus,Mobile,14924,1,13,12984,3
16-10-2019,119570,Honor X10 Max,Mobile,12091,1,15,10277,4
28-01-2020,173057,Samsung Galaxy M31,Mobile,12095,1,11,10765,2
17-04-2019,136629,Motorola One Fusion Plus,Mobile,19173,1,12,16872,4
20-04-2020,141677,Samsung Galaxy M21,Mobile,16684,1,6,15683,1
15-06-2019,143464,Realme X3,Mobile,19687,1,2,19293,2
23-03-2020,158922,Xiaomi Redmi Note 8,Mobile,15358,1,15,13054,2
12-08-2018,172618,Xiaomi Redmi Note 9 Pro Max,Mobile,10563,1,11,9401,1
27-02-2018,132287,LG 32LJ573D 32 inch HD ready Smart LED TV,LED TV,20999,1,6,19739,2
27-04-2018,128999,Noble Skiodo BLT39OD01 39 Inch HD Ready ,LED TV,14799,1,7,13763,4
25-11-2019,188166,Samsung UA32J4003AR 32 inch HD ready LED TV,LED TV,14999,1,7,13949,4
23-01-2019,131684,Micromax 32T8361HD 32 inch HD ready LED TV,LED TV,9299,1,9,8462,3
10-02-2019,155659,Samsung RT28M3022S8 253 L 2 Star Inverter Frost Free Double Door Refrigerator,Refrigerator,19590,1,14,16847,3
19-07-2019,119034,LG GL-D201ABPX 190 L 4 Star Direct Cool Single Door Refrigerator,Refrigerator,14999,1,10,13499,5
10-09-2018,168454,Samsung RT30K3723S8 275 L 3 Star Frost Free Double Door Refrigerator,Refrigerator,30990,1,13,26961,3
11-01-2019,151127,Dell Vostro 15 3581 ,Laptop,41490,1,11,36926,4
18-08-2018,166711,Acer Aspire 3 A315,Laptop,17499,1,6,16449,2
09-12-2019,156223,Roadster Unisex Green & Black Digital Watch MFB-PN-OS-1613,Digital Watch,799,1,12,703,3
21-06-2020,118222,Casio Youth Digital Men Black Digital watch D080,Digital Watch,2995,1,2,2935,4
17-03-2020,179835,Casio G-Shock Men Black Digital watch G001,Digital Watch,4395,1,4,4219,1
23-09-2018,123098,Casio G-Shock Men Green Digital watch G486,Digital Watch,16995,1,9,15465,1
05-09-2018,131573,Oppo A12s,Mobile,14610,1,9,13295,4
16-03-2019,141620,LG Aristo 5,Mobile,13165,1,3,12770,3
27-06-2019,135701,Tecno Spark 5 Pro,Mobile,12306,1,6,11568,5
17-12-2019,134096,Motorola One Vision Plus,Mobile,14860,1,0,14860,4
13-02-2020,100622,iQOO Z1x,Mobile,10409,1,5,9889,1
03-06-2018,196356,Lava Z61 Pro,Mobile,10576,1,8,9730,3
16-01-2019,138984,Motorola Moto G 5G Plus,Mobile,14924,1,2,14626,4
29-05-2019,198503,Honor X10 Max,Mobile,12091,1,10,10882,5
20-02-2018,198151,Samsung Galaxy M31,Mobile,12095,1,8,11127,3
23-06-2019,186949,Motorola One Fusion Plus,Mobile,19173,1,6,18023,3
18-04-2019,113841,Samsung Galaxy M21,Mobile,16684,1,13,14515,5
18-03-2020,108374,Realme X3,Mobile,19687,1,13,17128,4
08-06-2019,174344,Xiaomi Redmi Note 8,Mobile,15358,1,7,14283,2
